country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Gabon,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,22,27,22,17,27,27,40,69,86,71,76,133,136,137,155,178,204,215,245,284,295,398,598,912,1080,1330,1570,1520,1400
UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,75,69,75,88,102,178,181,232,210,187,191,213,234,206,199,195,190,195,206,214,237,178,243,268,296,262,378,503
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,5110,305,48.5k,47.2k,35.7k,29.9k,23.3k,20k,19.7k,15.5k,9400,10.3k,10.7k,15.9k,17.7k,19.8k,17.8k,13.1k,13.8k,18.3k,14.5k,15.8k,20.6k,23k,28k,27.3k,22.8k,26.4k,32.7k
Ghana,,,,,,,,,,,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,1960,2200,3200,2700,3920,4770,4720,4690,4700,4780,4470,14.3k,13.6k,15.1k,14.8k,13.6k,13.3k,15.7k,15.6k,16.8k,17.5k,16.4k,20.7k,11.1k,6680,15.2k,16.2k,22.2k,22.8k,27.7k,26k,29.7k,33.7k,27.4k,34.5k,30.6k,29k,23.9k,23.4k,24.3k
Guinea,,,,,,,,,,,,,,,,,,,,,300,0,0,0,300k,500k,3000,0,0,0,0,50,0,70,0,50,50,50,50,0,0,16,27,101,441,520,641,911,1150,4010,5870,7220,7030,7260,9080,9490,10.2k,11.5k,13.7k,14.7k,17.8k,23.6k,26.2k,33.1k,34.8k,41.9k,54.9k,56.5k,57.3k,58.4k,60.9k,61.2k
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,25,27,24,156,308,421,574,678,1030,1030,1140,1090,1120,2340,2260,2250,2460,3120,3280,3750,4820,7200,15.6k,21.3k,30.5k,36.8k,31.3k,27k,17.7k,16.8k,16.4k
Guinea-Bissau,,,,,,,,,,,,,6000,30k,50k,61k,59.5k,56.7k,67.8k,66.7k,80k,82k,84k,90k,46k,37k,5000,5000,5000,5000,4000,5000,5000,5010,5350,5360,5000,5000,5000,5000,5010,5010,5010,5010,830,854,865,8890,3190,1570,1670,1260,1190,1210,1290,1290,1270,1310,1420,1460,1600,2070,2420,3070,3390,3520,5370,4890,4760,4350,4590,4430
Equatorial Guinea,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1000,90k,90k,120k,90k,40k,38k,18k,18k,0,0,0,0,0,0,0,0,60,115,214,340,342,398,474,419,422,545,561,610,636,590,528,487,431,429,373,378,298,308,256,249,227,231,237,316,322,338,403,461
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7k,7090,23.4k,21.8k,21.6k,21.3k,1480,6610,5900,580,510,450,410,380,360,340,320,300,280,260,0,0,0,6,6,16,6,0,0,93,221,247,175,173,163,149,142,336,305,253,376,116,102,82,82,88,92,175,188,167,176,177,201,235,228,212,258,303
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,5,5,0,0,5,6,10,11,19,35,112,228,447,334,219,252,240,356,375,420,407,370,365,371,376,321,163,165,155,169,151,149,151
Guatemala,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,750,1910,36.5k,41.8k,47.9k,52.9k,52.8k,53.7k,53.8k,45.4k,48k,52.6k,53.9k,50.3k,49.6k,42.9k,40.3k,37.5k,32.7k,28.1k,123k,116k,110k,95.3k,63k,35.2k,27k,21.2k,16.2k,14.9k,6700,7190,7710,15.1k,23.3k,37.2k,58.8k,89k,106k,142k,171k,187k,191k
Guyana,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,59,54,37,38,47,236,414,1120,1370,859,790,835,919,983,1050,916,870,873,936,848,731,565,742,834,960,975,1140,1100
"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,202,102,47,39,17,18,23,17,27,17,19,26,34,58,76,97,19,82,76,63,113,127,115,33,227,502,912,869
Honduras,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,5,18,21,41,450,1210,1220,1260,1240,1100,1070,2090,1940,1920,1810,1750,1760,2390,1910,2060,2160,2120,2810,3420,8590,14.3k,26.3k,45.7k,74.2k,95.4k,149k,183k,222k,239k
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,0,0,0,0,0,0,0,0,0,5,12,12,13
